frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
141,110.0,175.0,0,109.944988455,174.925797361,554,246,False,15.8765326289,21.3324143123,15.8765326289,21.3324143123,1.55301532924
142,97.0,174.0,0,97.3904210036,173.911742269,554,246,False,14.0635987009,21.2087490572,14.0635987009,21.2087490572,1.81714680822
143,96.0,186.0,0,95.9511448023,185.732332652,554,246,False,13.8557609823,22.6502844698,13.8557609823,22.6502844698,1.45644116357
144,95.0,189.0,0,94.9724892715,189.04952817,554,246,False,13.714438884,23.0548205085,13.714438884,23.0548205085,0.428510609137
145,97.0,191.0,0,96.9357922156,191.043440614,554,246,False,13.9979483344,23.2979805627,13.9979483344,23.2979805627,0.373502905484
146,105.0,193.0,0,104.866468829,193.017386437,554,246,False,15.1431723941,23.538705663,15.1431723941,23.538705663,1.17025070855
147,108.0,194.0,0,108.034167607,194.024373728,554,246,False,15.6006018205,23.6615089912,15.6006018205,23.6615089912,0.47362679144
148,110.0,196.0,0,110.034587919,195.992104431,554,246,False,15.8894711796,23.9014761501,15.8894711796,23.9014761501,0.375539270913
149,111.0,198.0,0,111.031773559,197.99624462,554,246,False,16.033469106,24.1458834902,16.033469106,24.1458834902,0.283672964344
150,111.0,200.0,0,111.030582425,199.998561426,554,246,False,16.0332971011,24.3900684666,16.0332971011,24.3900684666,0.244185036922
151,111.0,203.0,0,111.01229534,202.981625633,554,246,False,16.0306563668,24.7538567845,16.0306563668,24.7538567845,0.363797902327
152,110.0,206.0,0,110.022461906,205.992297943,554,246,False,15.8877201308,25.1210119443,15.8877201308,25.1210119443,0.393997054412
153,111.0,208.0,0,110.973554855,208.014924802,554,246,False,16.0250620729,25.3676737563,16.0250620729,25.3676737563,0.282320489149
154,113.0,209.0,0,112.970640988,209.024250634,554,246,False,16.3134499622,25.4907622724,16.3134499622,25.4907622724,0.313557582362
155,115.0,209.0,0,114.988124152,209.027769224,554,246,False,16.604783271,25.4911913688,16.604783271,25.4911913688,0.291333624882
156,116.0,210.0,0,116.013365354,209.993410044,554,246,False,16.7528325421,25.6089524444,16.7528325421,25.6089524444,0.189172560342
157,117.0,211.0,0,117.005832894,210.996733159,554,246,False,16.8961491544,25.7313089218,16.8961491544,25.7313089218,0.188442985874
