frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
59,438.0,61.0,0,438.145423218,61.0824468465,520,215,False,67.4069881874,8.52313211812,67.4069881874,8.52313211812,3.72242424841
60,430.0,36.0,0,429.881117766,36.160020383,520,215,False,66.1355565794,5.04558423949,66.1355565794,5.04558423949,3.70268518537
61,424.0,16.0,0,423.911735176,15.9766476544,520,215,False,65.2171900271,2.22929967271,65.2171900271,2.22929967271,2.96223832355
62,422.0,13.0,0,421.893653537,12.6841069488,520,215,False,64.9067159288,1.7698753882,64.9067159288,1.7698753882,0.554495120727
63,406.0,21.0,0,406.206556729,20.67136164,520,215,False,62.4933164198,2.88437604279,62.4933164198,2.88437604279,2.65830940613
64,404.0,20.0,0,403.839059896,20.0279457438,520,215,False,62.1290861378,2.79459708053,62.1290861378,2.79459708053,0.375131923982
65,404.0,20.0,0,403.892956483,19.9997785274,520,215,False,62.1373779205,2.79066677127,62.1373779205,2.79066677127,0.00917610973455
66,403.0,19.0,0,402.97568757,19.0172447333,520,215,False,61.9962596262,2.65356903255,61.9962596262,2.65356903255,0.196748984618
67,403.0,19.0,0,402.973847846,18.9894202476,520,215,False,61.9959765917,2.64968654618,61.9959765917,2.64968654618,0.00389278935624
68,403.0,18.0,0,402.989434822,18.0130792139,520,215,False,61.998374588,2.51345291357,61.998374588,2.51345291357,0.136254735845
69,403.0,18.0,0,402.996023057,17.9878531069,520,215,False,61.9993881626,2.50993299166,61.9993881626,2.50993299166,0.00366294741051
70,403.0,17.0,0,402.998515859,17.0124944184,520,215,False,61.9997716706,2.37383643047,61.9997716706,2.37383643047,0.136097101531
71,403.0,17.0,0,402.999446748,16.9876351113,520,215,False,61.9999148843,2.37036768995,61.9999148843,2.37036768995,0.00347169569454
72,403.0,16.0,0,402.99979379,16.0124131665,520,215,False,61.9999682754,2.23429020928,61.9999682754,2.23429020928,0.136077491144
73,403.0,16.0,0,402.999923142,15.9876048274,520,215,False,61.9999881757,2.23082858057,61.9999881757,2.23082858057,0.00346168591288
