animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,Experiment_Acclimate,starve_date,starve_time,background,mean_speed_mm,%_time_L_half,%_time_R_half,PI_(L-R)
171116-04-bottom,171116,12:20:00 PM,12:35:00 PM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,3.3709083658,0.3240689272,0.6759310728,-0.3518621456
171116-05-top,171116,12:55:00 PM,01:10:00 PM,f,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,1.9808341249,0.1513633834,0.8486366166,-0.6972732332
171116-05-bottom,171116,12:55:00 PM,01:10:00 PM,,True,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,4.2814421963,0.7509727626,0.2490272374,0.5019455253
171116-06-top,171116,01:30:00 PM,01:45:00 PM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,2.9187444723,0.3125695217,0.6874304783,-0.3748609566
171116-06-bottom,171116,01:30:00 PM,01:45:00 PM,f,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,5.1483134322,0.5583982202,0.4416017798,0.1167964405
171116-07-top,171116,02:06:00 PM,02:21:00 PM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,3.7417119323,0.5166852058,0.4833147942,0.0333704116
171116-07-bottom,171116,02:06:00 PM,02:21:00 PM,f,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,3.435150108,0.2491657397,0.7508342603,-0.5016685206
171116-08-top,171116,02:41:00 PM,02:56:00 PM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,1.8886792569,0.6518353726,0.3481646274,0.3036707453
171116-08-bottom,171116,02:41:00 PM,02:56:00 PM,f,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,1.8011055728,0.4065628476,0.5934371524,-0.1868743048
171116-09-top,171116,03:17:00 PM,03:32:00 PM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,3.4414302048,0.5862068966,0.4137931034,0.1724137931
171116-09-bottom,171116,03:17:00 PM,03:32:00 PM,f,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,2.8172741911,0.4949944383,0.5050055617,-0.0100111235
171129-01-top,171129,02:09:00 PM,02:24:00 PM,m,False,milliQ_water_100uL,E,171128,13:45pm,gcamp,5.5663506185,0.4087875417,0.5912124583,-0.1824249166
171129-01-bottom,171129,02:09:00 PM,02:24:00 PM,,True,milliQ_water_100uL,E,171128,13:45pm,gcamp,2.6435460479,0.3642936596,0.6357063404,-0.2714126808
171129-02-top,171129,02:44:00 PM,02:59:00 PM,m,False,milliQ_water_100uL,E,171128,13:45pm,gcamp,1.3998427601,0.2146829811,0.7853170189,-0.5706340378
171129-02-bottom,171129,02:44:00 PM,02:59:00 PM,f,False,milliQ_water_100uL,E,171128,14:45pm,gcamp,3.4002694175,0.2208008899,0.7791991101,-0.5583982202
171129-03-top,171129,03:19:00 PM,03:34:00 PM,m,False,milliQ_water_100uL,E,171128,14:45pm,gcamp,8.7288135125,0.4844271413,0.5155728587,-0.0311457175
171129-03-bottom,171129,03:19:00 PM,03:34:00 PM,m,False,milliQ_water_100uL,E,171128,14:45pm,gcamp,2.036922754,0.9377085651,0.0622914349,0.8754171301
171129-04-top,171129,03:55:00 PM,04:10:00 PM,m,False,milliQ_water_100uL,E,171128,15:45pm,gcamp,6.8662561814,0.5617352614,0.4382647386,0.1234705228
171129-04-bottom,171129,03:55:00 PM,04:10:00 PM,m,False,milliQ_water_100uL,E,171128,15:45pm,gcamp,5.0875360376,0.4855394883,0.5144605117,-0.0289210234
