animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,starve_date,starve_time,background,A_mean_speed_mm,A_%_time_L_half,A_%_time_R_half,A_PI_(L-R),E_mean_speed_mm,E_%_time_L_half,E_%_time_R_half,E_PI_(L-R)
171129-05-top,171129,04:29:00 PM,04:44:00 PM,m,False,milliQ_water_100uL,171128,15:45pm,gcamp,2.987188281816727,0.6790878754171301,0.32091212458286983,0.3581757508342603,6.466436521096721,0.5789766407119021,0.42102335928809786,0.15795328142380427
171129-05-bottom,171129,04:29:00 PM,04:44:00 PM,f,False,milliQ_water_100uL,171128,16:45pm,gcamp,2.737738893370223,0.41379310344827586,0.5862068965517241,-0.17241379310344823,3.459591697723325,0.578420467185762,0.42157953281423804,0.15684093437152397
171130-01-top,171130,10:40:00 AM,10:55:00 AM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,2.987463262401052,0.4521690767519466,0.5478309232480534,-0.09566184649610676,4.856808929560761,0.7274749721913237,0.2725250278086763,0.4549499443826474
171130-01-bottom,171130,10:40:00 AM,10:55:00 AM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,2.2356450867019038,0.24485253199777407,0.755147468002226,-0.510294936004452,3.207856065593029,0.5514746800222593,0.4485253199777407,0.1029493600445186
171130-02-top,171130,11:16:00 AM,11:31:00 AM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,2.2146423326719287,0.4421579532814238,0.5578420467185762,-0.11568409343715236,4.499098719351116,0.5553085047248472,0.44469149527515284,0.11061700944969433
171130-02-bottom,171130,11:16:00 AM,11:31:00 AM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,2.3323426551705886,0.03781979977753059,0.9621802002224694,-0.9243604004449388,3.076240722832841,0.5545050055617352,0.44549499443826474,0.10901001112347047
171130-04-top,171130,12:16:00 PM,12:31:00 PM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,3.4430622205729184,0.6642579210672596,0.3357420789327404,0.3285158421345192,5.637358958786599,0.7814238042269188,0.2185761957730812,0.5628476084538376
171130-04-bottom,171130,12:16:00 PM,12:31:00 PM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,2.5872575225785623,0.685761957730812,0.314238042269188,0.37152391546162405,3.6249774328527766,0.7630700778642937,0.23692992213570635,0.5261401557285874
171130-05-top,171130,12:51:00 PM,01:06:00 PM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,1.3357090837793872,0.7880978865406006,0.21190211345939933,0.5761957730812013,2.5606645033042117,0.4833147942157953,0.5166852057842046,-0.03337041156840931
171130-05-bottom,171130,12:51:00 PM,01:06:00 PM,m,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,1.8007047855893636,0.4074485825458588,0.5925514174541412,-0.1851028349082824,2.5141790458938225,0.985539488320356,0.014460511679644048,0.971078976640712
171130-06-top,171130,03:29:00 PM,03:44:00 PM,m,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,3.4603214497306887,0.4082313681868743,0.5917686318131257,-0.1835372636262514,2.5306479974380642,0.5556173526140156,0.44438264738598443,0.11123470522803114
171130-06-bottom,171130,03:29:00 PM,03:44:00 PM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,2.550955895595855,0.4682981090100111,0.5317018909899889,-0.06340378197997776,3.1473863031255,0.582313681868743,0.41768631813125695,0.16462736373748604
171130-07-top,171130,04:03:00 PM,04:18:00 PM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,0.924847611879234,0.8587319243604005,0.14126807563959956,0.7174638487208009,0.8303479054425195,1.0,0.0,1.0
171130-07-bottom,171130,04:03:00 PM,04:18:00 PM,,True,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,5.835814675565866,0.5895439377085651,0.41045606229143494,0.17908787541713012,3.0313485963453037,0.6820455808782657,0.3179544191217343,0.36409116175653145
171130-08-bottom,171130,04:38:00 PM,04:53:00 PM,f,False,filtered_food_odor_100uL,171129,09:30:00 AM,gcamp,2.4530048218845795,0.5139043381535039,0.4860956618464961,0.027808676307007785,3.1105679563523343,0.7085650723025584,0.2914349276974416,0.41713014460511677
171214-03-top,171214,11:48:00 AM,12:03:00 PM,m,False,filtered_food_odor_100uL,171213,10:15:00 AM,gcamp,2.0912403419056393,0.7863105175292153,0.21368948247078465,0.5726210350584306,2.537631600741504,0.6768631813125695,0.3231368186874305,0.353726362625139
171214-03-bottom,171214,11:48:00 AM,12:03:00 PM,f,False,filtered_food_odor_100uL,171213,10:15:00 AM,gcamp,2.543582330435016,0.39988876529477196,0.600111234705228,-0.20022246941045602,4.88357031937087,0.7413793103448276,0.25862068965517243,0.4827586206896552
171214-06-top,171214,02:06:00 PM,02:21:00 PM,m,False,filtered_food_odor_100uL,171213,10:15:00 AM,orco5_gcamp,1.9727263645090554,0.5275152862701501,0.4724847137298499,0.05503057254030019,2.5231399255159217,0.6781545302946081,0.3218454697053919,0.35630906058921624
