animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,starve_date,starve_time,background
180222-02-top,180222,11:10:00 AM,11:25:00 AM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-02-bottom,180222,11:10:00 AM,11:25:00 AM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-03-top,180222,12:38:00 PM,12:53:00 PM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-03-bottom,180222,12:38:00 PM,12:53:00 PM,f,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-04-top,180222,01:10:00 PM,01:25:00 PM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-04-bottom,180222,01:10:00 PM,01:25:00 PM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-05-top,180222,02:47:00 PM,03:05:00 PM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-05-bottom,180222,02:47:00 PM,03:05:00 PM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-06-top,180222,03:25:00 PM,03:40:00 PM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-06-bottom,180222,03:25:00 PM,03:40:00 PM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-07-top,180222,04:00:00 PM,04:15:00 PM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-07-bottom,180222,04:00:00 PM,04:15:00 PM,f,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180222-08-top,180222,04:35:00 PM,04:50:00 PM,m,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
180312-01-top,180312,10:25:00 AM,10:40:00 AM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-01-bottom,180312,10:25:00 AM,10:40:00 AM,m,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-02-top,180312,11:00:00 AM,11:15:00 AM,m,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-02-bottom,180312,11:00:00 AM,11:15:00 AM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-03-top,180312,11:37:00 AM,11:54:00 AM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-03-bottom,180312,11:37:00 AM,11:54:00 AM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-04-top,180312,01:10:00 PM,01:25:00 PM,m,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-04-bottom,180312,01:10:00 PM,01:25:00 PM,m,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-05-bottom,180312,01:48:00 PM,02:03:00 PM,m,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-06-top,180312,02:25:00 PM,02:40:00 PM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-06-bottom,180312,02:25:00 PM,02:40:00 PM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-07-top,180312,04:17:00 PM,04:32:00 PM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-07-bottom,180312,04:17:00 PM,04:32:00 PM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-08-top,180312,04:55:00 PM,05:10:00 PM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-08-bottom,180312,04:55:00 PM,05:45:00 PM,m,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180312-09-bottom,180312,05:30:00 PM,05:45:00 PM,f,FALSE,1-octen-3-ol_100um,180311,09:30:00 AM,orco5_gcamp
180313-01-top,180313,10:32:00 AM,10:47:00 AM,f,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-01-bottom,180313,10:32:00 AM,10:47:00 AM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-02-top,180313,11:08:00 AM,11:23:00 AM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-02-bottom,180313,11:08:00 AM,11:23:00 AM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-03-top,180313,11:42:00 AM,11:57:00 AM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
