frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
1111,65.0,67.0,16,65.0104105934,67.017572815,521,212,False
1112,66.0,67.0,16,65.9868565724,66.9895668849,521,212,False
1113,67.0,67.0,16,66.9942865763,66.9952987058,521,212,False
1114,68.0,67.0,16,67.9978315334,66.9982088631,521,212,False
1115,68.0,67.0,16,68.0170262412,66.9993305546,521,212,False
1116,69.0,67.0,16,68.9893630835,66.9997503984,521,212,False
1117,69.0,67.0,16,69.0130590694,66.9999069654,521,212,False
1118,70.0,67.0,16,69.9878456544,66.9999653244,521,212,False
1119,71.0,68.0,16,70.9946553158,67.9821507483,521,212,False
1120,71.0,68.0,16,71.0158053003,68.0103300786,521,212,False
1121,72.0,68.0,16,71.9889062439,68.0046628907,521,212,False
1122,73.0,69.0,16,72.9950523857,68.9839404957,521,212,False
1123,74.0,69.0,16,73.9981170516,69.0109990061,521,212,False
1124,74.0,70.0,16,74.0171326624,69.9870759717,521,212,False
1125,75.0,70.0,16,74.9894027485,70.0122046816,521,212,False
1126,76.0,71.0,16,75.9952375256,70.9875271178,521,212,False
1127,77.0,71.0,16,76.9981860601,71.0123729155,521,212,False
1128,77.0,72.0,16,77.0171583832,71.9875898252,521,212,False
1129,78.0,72.0,16,77.989412335,72.0123962877,521,212,False
1130,80.0,73.0,16,79.977404771,72.9875985364,521,212,False
1131,81.0,74.0,16,81.0085222875,73.9945632069,521,212,False
1132,83.0,75.0,16,82.9861509104,74.9979346421,521,212,False
1133,84.0,76.0,16,84.0118598037,75.999228344,521,212,False
1134,86.0,77.0,16,85.9873985721,76.9997123027,521,212,False
1135,84.0,77.0,16,84.0658339871,77.0177290941,521,212,False
1136,85.0,78.0,16,84.9744036087,77.9896251366,521,212,False
1137,87.0,78.0,16,86.9702243505,78.0131567449,521,212,False
1138,89.0,80.0,16,88.9879337879,79.9700457321,521,212,False
1139,99.0,83.0,16,98.8527657754,82.9693311251,521,212,False
1140,99.0,84.0,16,99.1166561317,84.0233085074,521,212,False
1141,92.0,84.0,16,92.1765425306,84.0281862167,521,212,False
1142,94.0,85.0,16,93.9116409027,84.9936022235,521,212,False
1143,94.0,86.0,16,93.9953625612,85.9968065458,521,212,False
1144,95.0,88.0,16,94.9817893046,87.9809347128,521,212,False
1145,96.0,89.0,16,95.9924238349,89.0098749911,521,212,False
1146,89.0,63.0,16,89.1398291217,63.4860740291,521,212,False
1147,98.0,54.0,16,97.7735618833,53.9010346609,521,212,False
1148,117.0,44.0,16,116.72390951,43.9675446567,521,212,False
1149,127.0,49.0,16,127.048450277,48.7205705065,521,212,False
1150,118.0,35.0,16,118.364191418,35.2219493262,521,212,False
1151,118.0,17.0,16,117.991777018,17.16967463,521,212,False
1152,147.0,9.0,16,146.472792319,8.88903809529,521,212,False
1153,170.0,20.0,16,169.885436672,19.6114161073,521,212,False
1154,200.0,26.0,16,199.836367208,25.9277338959,521,212,False
1155,216.0,12.0,16,216.182932862,12.3332644751,521,212,False
1156,249.0,14.0,16,248.776637191,13.856068904,521,212,False
1157,252.0,14.0,16,252.437887185,13.9691952779,521,212,False
1158,240.0,24.0,16,240.455691288,23.811248371,521,212,False
1159,232.0,33.0,16,232.112494671,32.9390024168,521,212,False
1160,230.0,35.0,16,229.932166108,35.1025671493,521,212,False
1161,227.0,37.0,16,226.987300907,37.044224683,521,212,False
1162,225.0,39.0,16,224.978032717,39.0167701727,521,212,False
1163,223.0,39.0,16,222.990987715,39.041936888,521,212,False
1164,222.0,40.0,16,221.978765188,39.9995019691,521,212,False
1165,220.0,41.0,16,220.009066339,40.9990425429,521,212,False
1166,219.0,41.0,16,218.986355458,41.0174425325,521,212,False
1167,217.0,41.0,16,217.011936126,41.0073528909,521,212,False
1168,216.0,41.0,16,215.987427023,41.0027812978,521,212,False
1169,215.0,42.0,16,214.994499281,41.9832022554,521,212,False
1170,214.0,42.0,16,213.997910816,42.0107220848,521,212,False
1171,213.0,43.0,16,212.999219464,42.9869726743,521,212,False
1172,212.0,43.0,16,211.999708993,43.012166177,521,212,False
1173,211.0,43.0,16,210.999891533,43.0053490939,521,212,False
1174,211.0,44.0,16,210.982123245,43.9841963432,521,212,False
1175,210.0,44.0,16,210.010319828,44.0110943687,521,212,False
1176,209.0,45.0,16,209.00465907,44.987111515,521,212,False
1177,208.0,45.0,16,208.001775399,45.0122179291,521,212,False
1178,207.0,46.0,16,207.00066358,45.9875320554,521,212,False
1179,207.0,46.0,16,206.982411088,46.0123747558,521,212,False
1180,206.0,47.0,16,206.010427115,46.9875905111,521,212,False
1181,206.0,48.0,16,205.98686273,47.9945602157,521,212,False
1182,205.0,50.0,16,205.012125199,49.9800971997,521,212,False
1183,203.0,50.0,16,203.023170148,50.0273991517,521,212,False
1184,204.0,51.0,16,203.956019427,50.9940419383,521,212,False
1185,205.0,51.0,16,204.981089801,51.0148418428,521,212,False
1186,206.0,52.0,16,205.992831382,51.9885119825,521,212,False
1187,206.0,52.0,16,206.015158707,52.0127400832,521,212,False
1188,206.0,53.0,16,206.006503166,52.9877266787,521,212,False
1189,206.0,54.0,16,206.002464664,53.9946109677,521,212,False
1190,206.0,55.0,16,206.000920572,54.9979524433,521,212,False
1191,206.0,56.0,16,206.000343205,55.9992349788,521,212,False
1192,207.0,56.0,16,206.982291595,56.0175511032,521,212,False
1193,207.0,57.0,16,207.010382574,56.9895587926,521,212,False
